as_of_date,region,covid_hosp,covid_icu,covid_intube,yearid,covid_hosp_pop,date_num,Date
2020-05-04T04:00:00Z,New York City,5954,2090,1751,2020,67.627,125,"5/4/20<br>Daily count: 5,954"
2020-05-04T04:00:00Z,Long Island,1849,621,475,2020,63.285,125,"5/4/20<br>Daily count: 1,849"
2020-05-04T04:00:00Z,Lower Hudson Valley,1121,340,270,2020,52.44,125,"5/4/20<br>Daily count: 1,121"
2020-05-05T04:00:00Z,New York City,5739,1947,1665,2020,65.185,126,"5/5/20<br>Daily count: 5,739"
2020-05-05T04:00:00Z,Long Island,1747,601,467,2020,59.794,126,"5/5/20<br>Daily count: 1,747"
2020-05-05T04:00:00Z,Lower Hudson Valley,1055,327,255,2020,49.353,126,"5/5/20<br>Daily count: 1,055"
2020-05-06T04:00:00Z,New York City,5427,1869,1604,2020,61.641,127,"5/6/20<br>Daily count: 5,427"
2020-05-06T04:00:00Z,Long Island,1632,598,457,2020,55.858,127,"5/6/20<br>Daily count: 1,632"
2020-05-06T04:00:00Z,Lower Hudson Valley,997,306,226,2020,46.639,127,5/6/20<br>Daily count: 997
2020-05-07T04:00:00Z,New York City,5100,1782,1501,2020,57.927,128,"5/7/20<br>Daily count: 5,100"
2020-05-07T04:00:00Z,Long Island,1570,545,434,2020,53.736,128,"5/7/20<br>Daily count: 1,570"
2020-05-07T04:00:00Z,Lower Hudson Valley,939,287,231,2020,43.926,128,5/7/20<br>Daily count: 939
2020-05-08T04:00:00Z,New York City,4826,1701,1453,2020,54.815,129,"5/8/20<br>Daily count: 4,826"
2020-05-08T04:00:00Z,Long Island,1476,501,417,2020,50.519,129,"5/8/20<br>Daily count: 1,476"
2020-05-08T04:00:00Z,Lower Hudson Valley,893,265,211,2020,41.774,129,5/8/20<br>Daily count: 893
2020-05-09T04:00:00Z,New York City,4533,1561,1373,2020,51.487,130,"5/9/20<br>Daily count: 4,533"
2020-05-09T04:00:00Z,Long Island,1339,487,395,2020,45.83,130,"5/9/20<br>Daily count: 1,339"
2020-05-09T04:00:00Z,Lower Hudson Valley,829,253,188,2020,38.78,130,5/9/20<br>Daily count: 829
2020-05-10T04:00:00Z,New York City,4527,1547,1329,2020,51.419,131,"5/10/20<br>Daily count: 4,527"
2020-05-10T04:00:00Z,Long Island,1296,467,375,2020,44.358,131,"5/10/20<br>Daily count: 1,296"
2020-05-10T04:00:00Z,Lower Hudson Valley,829,258,199,2020,38.78,131,5/10/20<br>Daily count: 829
2020-05-11T04:00:00Z,New York City,4365,1507,1287,2020,49.579,132,"5/11/20<br>Daily count: 4,365"
2020-05-11T04:00:00Z,Long Island,1282,439,366,2020,43.879,132,"5/11/20<br>Daily count: 1,282"
2020-05-11T04:00:00Z,Lower Hudson Valley,819,249,195,2020,38.313,132,5/11/20<br>Daily count: 819
2020-05-12T04:00:00Z,New York City,4263,1482,1250,2020,48.42,133,"5/12/20<br>Daily count: 4,263"
2020-05-12T04:00:00Z,Long Island,1287,412,345,2020,44.05,133,"5/12/20<br>Daily count: 1,287"
2020-05-12T04:00:00Z,Lower Hudson Valley,786,238,188,2020,36.769,133,5/12/20<br>Daily count: 786
2020-05-13T04:00:00Z,New York City,4086,1400,1198,2020,46.41,134,"5/13/20<br>Daily count: 4,086"
2020-05-13T04:00:00Z,Long Island,1231,409,333,2020,42.133,134,"5/13/20<br>Daily count: 1,231"
2020-05-13T04:00:00Z,Lower Hudson Valley,768,235,187,2020,35.927,134,5/13/20<br>Daily count: 768
2020-05-14T04:00:00Z,New York City,3820,1350,1159,2020,43.388,135,"5/14/20<br>Daily count: 3,820"
2020-05-14T04:00:00Z,Long Island,1189,400,313,2020,40.696,135,"5/14/20<br>Daily count: 1,189"
2020-05-14T04:00:00Z,Lower Hudson Valley,772,234,183,2020,36.114,135,5/14/20<br>Daily count: 772
2020-05-15T04:00:00Z,New York City,3685,1309,1106,2020,41.855,136,"5/15/20<br>Daily count: 3,685"
2020-05-15T04:00:00Z,Long Island,1160,377,296,2020,39.703,136,"5/15/20<br>Daily count: 1,160"
2020-05-15T04:00:00Z,Lower Hudson Valley,759,219,166,2020,35.506,136,5/15/20<br>Daily count: 759
2020-05-16T04:00:00Z,New York City,3420,1245,1052,2020,38.845,137,"5/16/20<br>Daily count: 3,420"
2020-05-16T04:00:00Z,Long Island,1129,361,282,2020,38.642,137,"5/16/20<br>Daily count: 1,129"
2020-05-16T04:00:00Z,Lower Hudson Valley,724,216,167,2020,33.869,137,5/16/20<br>Daily count: 724
2020-05-17T04:00:00Z,New York City,3385,1207,1020,2020,38.448,138,"5/17/20<br>Daily count: 3,385"
2020-05-17T04:00:00Z,Long Island,1099,339,265,2020,37.615,138,"5/17/20<br>Daily count: 1,099"
2020-05-17T04:00:00Z,Lower Hudson Valley,709,206,160,2020,33.167,138,5/17/20<br>Daily count: 709
2020-05-18T04:00:00Z,New York City,3337,1158,973,2020,37.902,139,"5/18/20<br>Daily count: 3,337"
2020-05-18T04:00:00Z,Long Island,1104,322,249,2020,37.786,139,"5/18/20<br>Daily count: 1,104"
2020-05-18T04:00:00Z,Lower Hudson Valley,705,201,156,2020,32.98,139,5/18/20<br>Daily count: 705
2020-05-19T04:00:00Z,New York City,3204,1116,936,2020,36.392,140,"5/19/20<br>Daily count: 3,204"
2020-05-19T04:00:00Z,Long Island,1017,307,249,2020,34.809,140,"5/19/20<br>Daily count: 1,017"
2020-05-19T04:00:00Z,Lower Hudson Valley,674,196,146,2020,31.53,140,5/19/20<br>Daily count: 674
2020-05-20T04:00:00Z,New York City,2924,1061,870,2020,33.211,141,"5/20/20<br>Daily count: 2,924"
2020-05-20T04:00:00Z,Long Island,956,310,244,2020,32.721,141,5/20/20<br>Daily count: 956
2020-05-20T04:00:00Z,Lower Hudson Valley,647,191,143,2020,30.267,141,5/20/20<br>Daily count: 647
2020-05-21T04:00:00Z,New York City,2730,1000,817,2020,31.008,142,"5/21/20<br>Daily count: 2,730"
2020-05-21T04:00:00Z,Long Island,890,285,227,2020,30.462,142,5/21/20<br>Daily count: 890
2020-05-21T04:00:00Z,Lower Hudson Valley,589,175,133,2020,27.553,142,5/21/20<br>Daily count: 589
2020-05-22T04:00:00Z,New York City,2593,930,725,2020,29.452,143,"5/22/20<br>Daily count: 2,593"
2020-05-22T04:00:00Z,Long Island,834,278,216,2020,28.545,143,5/22/20<br>Daily count: 834
2020-05-22T04:00:00Z,Lower Hudson Valley,562,166,123,2020,26.29,143,5/22/20<br>Daily count: 562
2020-05-23T04:00:00Z,New York City,2460,893,687,2020,27.941,144,"5/23/20<br>Daily count: 2,460"
2020-05-23T04:00:00Z,Long Island,767,250,190,2020,26.252,144,5/23/20<br>Daily count: 767
2020-05-23T04:00:00Z,Lower Hudson Valley,535,140,113,2020,25.027,144,5/23/20<br>Daily count: 535
2020-05-24T04:00:00Z,New York City,2453,871,687,2020,27.862,145,"5/24/20<br>Daily count: 2,453"
2020-05-24T04:00:00Z,Long Island,745,233,188,2020,25.499,145,5/24/20<br>Daily count: 745
2020-05-24T04:00:00Z,Lower Hudson Valley,515,135,109,2020,24.092,145,5/24/20<br>Daily count: 515
2020-05-25T04:00:00Z,New York City,2416,788,655,2020,27.441,146,"5/25/20<br>Daily count: 2,416"
2020-05-25T04:00:00Z,Long Island,712,221,168,2020,24.369,146,5/25/20<br>Daily count: 712
2020-05-25T04:00:00Z,Lower Hudson Valley,488,137,109,2020,22.829,146,5/25/20<br>Daily count: 488
2020-05-26T04:00:00Z,New York City,2368,776,654,2020,26.896,147,"5/26/20<br>Daily count: 2,368"
2020-05-26T04:00:00Z,Long Island,690,213,162,2020,23.616,147,5/26/20<br>Daily count: 690
